Project ID,Owner ID,Title,Description,Budget,Currency Type,Currency Symbol,Date Updated,Status,Type,Qualifications,Language,Attachments,Location
37845942,65100824,Modify and Revamp Logo Design,,10.0,US Dollar,$,1709708566,closed,fixed,,en,,"None, None"
37845899,74938477,Expert Logo Designer Wanted,,75000.0,Indian Rupee,₹,1709708460,active,fixed,,en,,"None, None"
37845910,11403665,Logo Transformation to Vector,,10.0,US Dollar,$,1709708074,closed,fixed,,en,,"None, None"
37845903,68852331,Abstract Logo Creation,,1500.0,Indian Rupee,₹,1709707820,active,fixed,,en,,"None, None"
37845889,74774358,Bold Social Media Graphics & Logo -- 2,,1500.0,Indian Rupee,₹,1709707529,active,fixed,,en,,"None, None"
37845879,30487565,Logo Design and a Landing Page,,400.0,Canadian Dollar,$,1709707386,closed,fixed,,en,,"None, None"
37845752,74857419,Multifaceted Graphic Design Needs - 06/03/2024 00:58 EST,,750.0,Indian Rupee,₹,1709705547,active,hourly,,en,,"None, None"
37845652,74907712,Concrete Basin Brochure Designer Needed,,30.0,US Dollar,$,1709703045,active,hourly,,en,,"None, None"
37845631,74857419,Multifaceted Graphic Design Needs -- 2,,750.0,Indian Rupee,₹,1709702563,active,hourly,,en,,"None, None"
37845577,60114336,Minimalistic Logo for F&B Business,,600.0,Indian Rupee,₹,1709701658,closed,fixed,,en,,"None, None"
37845562,36039832,Logo Design Urgently Needed,,8.0,Euro,€,1709701291,active,fixed,,en,,"None, None"
37845550,10614291,Vibrant Illustrative Logo for Brand Recognition,,2.0,Canadian Dollar,$,1709701034,active,hourly,,en,,"None, None"
37845534,74030987,Minimalistic Corporate Letterhead Creation,,10.0,US Dollar,$,1709700637,closed,fixed,,en,,"None, None"
